Calendar Year,Age of Mother (Years),Grand Total
2001,10-14,22
2001,15-19,2348
2001,20-24,7660
2001,25-29,11616
2001,30-34,10603
2001,35-39,4683
2001,40-44,789
2001,45+,30
2002,10-14,14
2002,15-19,2247
2002,20-24,7888
2002,25-29,11974
2002,30-34,11022
2002,35-39,4768
2002,40-44,807
2002,45+,30
2003,10-14,14
2003,15-19,2135
2003,20-24,8130
2003,25-29,12468
2003,30-34,11584
2003,35-39,4994
2003,40-44,971
2003,45+,45
2004,10-14,20
2004,15-19,2114
2004,20-24,7966
2004,25-29,12819
2004,30-34,11807
2004,35-39,5006
2004,40-44,967
2004,45+,43
2005,10-14,13
2005,15-19,2180
2005,20-24,8074
2005,25-29,13256
2005,30-34,12159
2005,35-39,5278
2005,40-44,1016
2005,45+,41
2006,10-14,23
2006,15-19,2311
2006,20-24,8745
2006,25-29,14148
2006,30-34,13033
2006,35-39,5750
2006,40-44,1031
2006,45+,52
2007,10-14,27
2007,15-19,2484
2007,20-24,9178
2007,25-29,15603
2007,30-34,14010
2007,35-39,6338
2007,40-44,1150
2007,45+,50
2008,10-14,23
2008,15-19,2436
2008,20-24,9124
2008,25-29,16249
2008,30-34,14808
2008,35-39,6651
2008,40-44,1177
2008,45+,67
2009,10-14,18
2009,15-19,2366
2009,20-24,8876
2009,25-29,16695
2009,30-34,15293
2009,35-39,6812
2009,40-44,1255
2009,45+,84
2010,10-14,10
2010,15-19,2136
2010,20-24,8299
2010,25-29,16287
2010,30-34,15308
2010,35-39,7055
2010,40-44,1359
2010,45+,69
2011,10-14,14
2011,15-19,1984
2011,20-24,7901
2011,25-29,16322
2011,30-34,16056
2011,35-39,7049
2011,40-44,1419
2011,45+,92
2012,10-14,9
2012,15-19,1888
2012,20-24,7945
2012,25-29,16621
2012,30-34,16898
2012,35-39,7536
2012,40-44,1448
2012,45+,83
2013,10-14,15
2013,15-19,1788
2013,20-24,7733
2013,25-29,16520
2013,30-34,17774
2013,35-39,7776
2013,40-44,1484
2013,45+,85
2014,10-14,9
2014,15-19,1615
2014,20-24,7491
2014,25-29,17020
2014,30-34,19135
2014,35-39,8607
2014,40-44,1599
2014,45+,98
2015,10-14,5
2015,15-19,1519
2015,20-24,7354
2015,25-29,17137
2015,30-34,19971
2015,35-39,8860
2015,40-44,1681
2015,45+,115
2016,10-14,9
2016,15-19,1314
2016,20-24,6691
2016,25-29,16272
2016,30-34,19940
2016,35-39,9480
2016,40-44,1775
2016,45+,114
2017,10-14,9
2017,15-19,1189
2017,20-24,6168
2017,25-29,15296
2017,30-34,19498
2017,35-39,9426
2017,40-44,1759
2017,45+,115
2018,10-14,7
2018,15-19,1005
2018,20-24,5605
2018,25-29,14557
2018,30-34,19231
2018,35-39,9855
2018,40-44,1869
2018,45+,116
2019,10-14,5
2019,15-19,872
2019,20-24,5294
2019,25-29,14172
2019,30-34,19002
2019,35-39,10128
2019,40-44,1945
2019,45+,130
2020,10-14,5
2020,15-19,824
2020,20-24,4910
2020,25-29,13157
2020,30-34,18206
2020,35-39,9612
2020,40-44,1975
2020,45+,120
2021,10-14,6
2021,15-19,755
2021,20-24,4637
2021,25-29,12950
2021,30-34,19087
2021,35-39,10318
2021,40-44,2031
2021,45+,144
2022,10-14,2
2022,15-19,686
2022,20-24,4424
2022,25-29,12042
2022,30-34,18056
2022,35-39,10098
2022,40-44,2119
2022,45+,118
2023,10-14,7
2023,15-19,655
2023,20-24,4413
2023,25-29,12291
2023,30-34,18249
2023,35-39,10465
2023,40-44,2177
2023,45+,175
